datetime,avg_temp,avg_humid,avg_wind_speed,avg_pressure,date,hour
2015-01-01 00:00:00,28.90,49.00,8.10,1025.4,2015-01-01,0
2015-01-01 01:00:00,28.90,53.00,8.10,1024.7,2015-01-01,1
2015-01-01 02:00:00,30.00,53.00,13.80,1024.0,2015-01-01,2
2015-01-01 03:00:00,28.90,56.00,12.70,1023.7,2015-01-01,3
2015-01-01 04:00:00,28.90,56.00,12.70,1023.7,2015-01-01,4
2015-01-01 05:00:00,28.90,45.00,15.00,1023.4,2015-01-01,5
2015-01-01 06:00:00,28.90,49.00,15.00,1022.7,2015-01-01,6
2015-01-01 07:00:00,28.90,49.00,11.50,1022.7,2015-01-01,7
2015-01-01 08:00:00,30.00,44.00,13.80,1022.4,2015-01-01,8
2015-01-01 09:00:00,30.00,43.00,16.10,1022.4,2015-01-01,9
2015-01-01 10:00:00,30.00,43.00,12.70,1022.7,2015-01-01,10
2015-01-01 11:00:00,30.00,43.00,13.80,1023.0,2015-01-01,11
2015-01-01 12:00:00,30.90,39.00,12.70,1022.7,2015-01-01,12
2015-01-01 13:00:00,33.10,36.00,16.10,1023.4,2015-01-01,13
2015-01-01 14:00:00,36.00,32.00,24.20,1023.7,2015-01-01,14
2015-01-01 15:00:00,37.90,32.00,23.00,1023.0,2015-01-01,15
2015-01-01 16:00:00,39.90,31.00,25.30,1021.0,2015-01-01,16
2015-01-01 17:00:00,41.00,29.00,26.50,1019.3,2015-01-01,17
2015-01-01 18:00:00,42.10,32.00,23.00,1018.3,2015-01-01,18
2015-01-01 19:00:00,42.10,32.00,18.40,1017.6,2015-01-01,19
2015-01-01 20:00:00,39.90,36.00,13.80,1017.6,2015-01-01,20
2015-01-01 21:00:00,39.90,36.00,18.40,1017.6,2015-01-01,21
2015-01-01 22:00:00,39.00,42.00,11.50,1017.6,2015-01-01,22
2015-01-01 23:00:00,37.00,46.00,13.80,1017.3,2015-01-01,23
2015-01-02 00:00:00,37.90,48.00,12.70,1017.6,2015-01-02,0
2015-01-02 01:00:00,37.00,50.00,12.70,1017.6,2015-01-02,1
2015-01-02 02:00:00,36.00,54.00,11.50,1017.9,2015-01-02,2
2015-01-02 03:00:00,33.10,63.00,5.80,1018.6,2015-01-02,3
2015-01-02 04:00:00,34.00,61.00,8.10,1019.0,2015-01-02,4
2015-01-02 05:00:00,33.10,63.00,6.90,1018.6,2015-01-02,5
2015-01-02 06:00:00,30.90,69.00,4.60,1019.6,2015-01-02,6
2015-01-02 07:00:00,32.00,,4.60,1020.0,2015-01-02,7
2015-01-02 08:00:00,30.00,69.00,6.90,1020.3,2015-01-02,8
2015-01-02 09:00:00,34.00,59.00,9.20,1020.7,2015-01-02,9
2015-01-02 10:00:00,33.10,53.00,10.40,1022.0,2015-01-02,10
2015-01-02 11:00:00,36.00,44.00,9.20,1023.0,2015-01-02,11
2015-01-02 12:00:00,36.00,46.00,6.90,1023.7,2015-01-02,12
2015-01-02 13:00:00,37.00,46.00,8.10,1024.4,2015-01-02,13
2015-01-02 14:00:00,39.90,44.00,9.20,1025.4,2015-01-02,14
2015-01-02 15:00:00,42.10,37.00,11.50,1025.7,2015-01-02,15
2015-01-02 16:00:00,43.00,36.00,12.70,1025.1,2015-01-02,16
2015-01-02 17:00:00,43.00,36.00,11.50,1024.7,2015-01-02,17
2015-01-02 18:00:00,43.00,36.00,11.50,1025.7,2015-01-02,18
2015-01-02 19:00:00,43.00,36.00,12.70,1025.7,2015-01-02,19
2015-01-02 20:00:00,42.10,39.00,10.40,1026.8,2015-01-02,20
2015-01-02 21:00:00,42.10,39.00,10.40,1027.1,2015-01-02,21
2015-01-02 22:00:00,37.90,50.00,8.10,1028.1,2015-01-02,22
2015-01-02 23:00:00,37.00,54.00,5.80,1028.8,2015-01-02,23
2015-01-03 00:00:00,37.90,52.00,5.80,1029.5,2015-01-03,0
2015-01-03 01:00:00,35.10,61.00,5.80,1030.1,2015-01-03,1
2015-01-03 02:00:00,37.00,50.00,5.80,1030.5,2015-01-03,2
2015-01-03 03:00:00,34.00,59.00,0.00,1031.2,2015-01-03,3
2015-01-03 04:00:00,32.00,,6.90,1031.2,2015-01-03,4
2015-01-03 05:00:00,32.00,,0.00,1031.8,2015-01-03,5
2015-01-03 06:00:00,33.10,61.00,4.60,1032.2,2015-01-03,6
2015-01-03 07:00:00,30.90,75.00,3.50,1033.5,2015-01-03,7
2015-01-03 08:00:00,28.00,81.00,4.60,1033.2,2015-01-03,8
2015-01-03 09:00:00,30.90,69.00,6.90,1033.9,2015-01-03,9
2015-01-03 10:00:00,32.00,,10.40,1034.2,2015-01-03,10
2015-01-03 11:00:00,33.10,63.00,8.10,1034.5,2015-01-03,11
2015-01-03 12:00:00,34.00,64.00,10.40,1034.2,2015-01-03,12
2015-01-03 13:00:00,35.35,60.50,5.20,1035.2,2015-01-03,13
2015-01-03 14:00:00,36.00,63.00,6.62,1035.0,2015-01-03,14
2015-01-03 15:00:00,37.00,64.00,4.60,1034.2,2015-01-03,15
2015-01-03 16:00:00,37.30,74.00,5.37,1032.7,2015-01-03,16
2015-01-03 17:00:00,36.75,85.33,4.65,1032.1,2015-01-03,17
2015-01-03 18:00:00,37.00,92.00,6.92,1031.5,2015-01-03,18
2015-01-03 19:00:00,37.90,93.00,6.08,1030.0,2015-01-03,19
2015-01-03 20:00:00,37.90,95.00,6.65,1029.2,2015-01-03,20
2015-01-03 21:00:00,39.00,93.00,5.80,1027.8,2015-01-03,21
2015-01-03 22:00:00,39.00,95.00,5.40,1027.5,2015-01-03,22
2015-01-03 23:00:00,39.60,96.67,6.53,1026.0,2015-01-03,23
2015-01-04 00:00:00,39.90,97.00,5.75,1024.5,2015-01-04,0
2015-01-04 01:00:00,41.37,95.00,6.13,1022.9,2015-01-04,1
2015-01-04 02:00:00,43.00,97.00,4.60,1021.0,2015-01-04,2
2015-01-04 03:00:00,42.10,100.00,0.00,1019.6,2015-01-04,3
2015-01-04 04:00:00,43.00,97.00,4.05,1018.1,2015-01-04,4
2015-01-04 05:00:00,43.00,97.00,0.00,1017.3,2015-01-04,5
2015-01-04 06:00:00,42.93,98.00,4.63,1016.9,2015-01-04,6
2015-01-04 07:00:00,43.27,98.25,8.93,1016.8,2015-01-04,7
2015-01-04 08:00:00,42.93,98.00,10.00,1016.7,2015-01-04,8
2015-01-04 09:00:00,42.10,96.00,9.60,1016.0,2015-01-04,9
2015-01-04 10:00:00,42.33,95.25,9.53,1015.6,2015-01-04,10
2015-01-04 11:00:00,42.73,93.75,8.35,1015.1,2015-01-04,11
2015-01-04 12:00:00,42.55,94.50,6.35,1014.9,2015-01-04,12
2015-01-04 13:00:00,43.76,95.80,6.24,1014.2,2015-01-04,13
2015-01-04 14:00:00,44.80,96.25,8.35,1013.3,2015-01-04,14
2015-01-04 15:00:00,50.00,95.25,17.85,1011.7,2015-01-04,15
2015-01-04 16:00:00,52.00,93.00,12.70,1009.5,2015-01-04,16
2015-01-04 17:00:00,52.90,94.67,11.53,1009.0,2015-01-04,17
2015-01-04 18:00:00,52.73,91.67,9.20,1008.9,2015-01-04,18
2015-01-04 19:00:00,53.55,89.50,8.10,1008.1,2015-01-04,19
2015-01-04 20:00:00,54.00,90.00,5.80,1007.1,2015-01-04,20
2015-01-04 21:00:00,54.00,90.00,6.90,1006.1,2015-01-04,21
2015-01-04 22:00:00,55.00,93.00,5.80,1005.8,2015-01-04,22
2015-01-04 23:00:00,55.90,90.00,10.40,1006.1,2015-01-04,23
2015-01-05 00:00:00,57.00,87.00,11.50,1006.8,2015-01-05,0
2015-01-05 01:00:00,56.33,84.33,16.87,1008.0,2015-01-05,1
2015-01-05 02:00:00,54.00,64.00,19.60,1009.8,2015-01-05,2
2015-01-05 03:00:00,53.10,59.00,20.70,1011.2,2015-01-05,3
2015-01-05 04:00:00,50.00,,23.00,1012.2,2015-01-05,4
2015-01-05 05:00:00,48.00,47.00,17.30,1012.9,2015-01-05,5
2015-01-05 06:00:00,46.00,51.00,12.70,1014.2,2015-01-05,6
2015-01-05 07:00:00,45.00,51.00,17.30,1014.9,2015-01-05,7
2015-01-05 08:00:00,43.00,47.00,20.70,1015.9,2015-01-05,8
2015-01-05 09:00:00,42.10,50.00,13.80,1016.6,2015-01-05,9
2015-01-05 10:00:00,42.10,49.00,16.10,1017.9,2015-01-05,10
2015-01-05 11:00:00,39.90,46.00,16.10,1020.0,2015-01-05,11
2015-01-05 12:00:00,39.90,44.00,17.30,1021.0,2015-01-05,12
2015-01-05 13:00:00,39.00,42.00,18.40,1022.4,2015-01-05,13
2015-01-05 14:00:00,37.00,42.00,20.70,1023.4,2015-01-05,14
2015-01-05 15:00:00,37.00,38.00,18.40,1024.0,2015-01-05,15
2015-01-05 16:00:00,39.00,34.00,26.50,1023.0,2015-01-05,16
2015-01-05 17:00:00,39.00,30.00,28.80,1023.4,2015-01-05,17
2015-01-05 18:00:00,37.00,23.00,23.00,1023.7,2015-01-05,18
2015-01-05 19:00:00,36.00,25.00,19.60,1025.4,2015-01-05,19
2015-01-05 20:00:00,34.00,25.00,24.20,1026.4,2015-01-05,20
2015-01-05 21:00:00,32.00,,15.00,1027.8,2015-01-05,21
2015-01-05 22:00:00,30.90,28.00,17.30,1029.1,2015-01-05,22
2015-01-05 23:00:00,30.00,26.00,21.90,1029.5,2015-01-05,23
2015-01-06 00:00:00,28.00,31.00,18.40,1030.1,2015-01-06,0
2015-01-06 01:00:00,27.00,33.00,12.70,1030.8,2015-01-06,1
2015-01-06 02:00:00,26.10,35.00,11.50,1031.5,2015-01-06,2
2015-01-06 03:00:00,25.00,33.00,15.00,1031.5,2015-01-06,3
2015-01-06 04:00:00,24.10,34.00,12.70,1031.5,2015-01-06,4
2015-01-06 05:00:00,23.00,38.00,10.40,1031.5,2015-01-06,5
2015-01-06 06:00:00,21.90,41.00,10.40,1030.8,2015-01-06,6
2015-01-06 07:00:00,21.90,39.00,8.10,1030.8,2015-01-06,7
2015-01-06 08:00:00,21.90,39.00,5.80,1030.5,2015-01-06,8
2015-01-06 09:00:00,21.90,34.00,5.80,1029.1,2015-01-06,9
2015-01-06 10:00:00,21.90,34.00,9.20,1030.1,2015-01-06,10
2015-01-06 11:00:00,20.10,59.67,5.00,1029.6,2015-01-06,11
2015-01-06 12:00:00,19.90,81.00,0.00,1028.4,2015-01-06,12
2015-01-06 13:00:00,19.08,85.20,1.40,1029.1,2015-01-06,13
2015-01-06 14:00:00,19.72,84.20,6.24,1028.7,2015-01-06,14
2015-01-06 15:00:00,20.67,78.67,7.12,1027.3,2015-01-06,15
2015-01-06 16:00:00,21.45,77.50,5.20,1025.2,2015-01-06,16
2015-01-06 17:00:00,23.00,79.50,4.65,1022.7,2015-01-06,17
2015-01-06 18:00:00,23.00,80.33,2.70,1021.3,2015-01-06,18
2015-01-06 19:00:00,23.00,81.00,0.00,1021.1,2015-01-06,19
2015-01-06 20:00:00,23.00,85.00,0.00,1021.0,2015-01-06,20
2015-01-06 21:00:00,23.37,82.33,3.07,1021.0,2015-01-06,21
2015-01-06 22:00:00,24.10,81.00,4.60,1021.0,2015-01-06,22
2015-01-06 23:00:00,23.55,81.00,6.35,1020.9,2015-01-06,23
2015-01-07 00:00:00,24.10,77.00,10.40,1021.0,2015-01-07,0
2015-01-07 01:00:00,23.00,78.00,8.10,1020.7,2015-01-07,1
2015-01-07 02:00:00,23.00,74.00,8.10,1019.6,2015-01-07,2
2015-01-07 03:00:00,18.00,88.00,6.90,1019.3,2015-01-07,3
2015-01-07 04:00:00,19.00,84.00,7.50,1019.3,2015-01-07,4
2015-01-07 05:00:00,18.00,84.00,8.10,1019.0,2015-01-07,5
2015-01-07 06:00:00,18.00,88.00,6.90,1018.6,2015-01-07,6
2015-01-07 07:00:00,19.00,86.00,4.65,1018.1,2015-01-07,7
2015-01-07 08:00:00,21.00,84.00,4.60,1016.3,2015-01-07,8
2015-01-07 09:00:00,23.00,68.00,17.25,1015.4,2015-01-07,9
2015-01-07 10:00:00,21.90,68.00,13.25,1015.8,2015-01-07,10
2015-01-07 11:00:00,21.90,65.00,13.80,1016.3,2015-01-07,11
2015-01-07 12:00:00,21.90,62.00,12.70,1016.9,2015-01-07,12
2015-01-07 13:00:00,21.90,60.00,13.80,1017.9,2015-01-07,13
2015-01-07 14:00:00,23.00,54.00,17.30,1018.3,2015-01-07,14
2015-01-07 15:00:00,23.00,45.00,20.70,1018.3,2015-01-07,15
2015-01-07 16:00:00,23.00,41.00,25.30,1017.9,2015-01-07,16
2015-01-07 17:00:00,23.00,45.00,18.40,1017.9,2015-01-07,17
2015-01-07 18:00:00,23.00,36.00,25.30,1017.9,2015-01-07,18
2015-01-07 19:00:00,23.00,34.00,25.30,1019.3,2015-01-07,19
2015-01-07 20:00:00,19.90,62.00,25.30,1020.7,2015-01-07,20
2015-01-07 21:00:00,20.45,50.00,20.75,1021.2,2015-01-07,21
2015-01-07 22:00:00,19.00,47.00,16.10,1023.0,2015-01-07,22
2015-01-07 23:00:00,18.00,35.00,17.30,1024.0,2015-01-07,23
